RecordID_Int,Acreage,GPIN,IsActive,Legal,ParcelNumber,StreetNumber,StreetName,StateCode,TaxDist,TaxType,Unit,Zone
12580,0.13,6019,1,LOT 3,530212200,526,8TH ST NE,1.0 Residential (Urban),,Taxable,,R-1S
12581,0.16,5976,1,LOT 4,530212300,710,FARISH ST,1.0 Residential (Urban),,Taxable,,R-1S
12582,0.15,6021,1,LOT 5,530212400,527,KELLY AVE,1.0 Residential (Urban),,Taxable,,R-1S
12583,0.14,6063,1,LOT 6,530212500,525,KELLY AVE,1.0 Residential (Urban),,Taxable,,R-1S
12584,0.2,5961,1,LOT 7 BK 3,530213000,523,LEXINGTON AVE,1.0 Residential (Urban),,Taxable,,R-1SC
12585,0.2,6004,1,LOT 6 BK 3,530214000,519,LEXINGTON AVE,1.0 Residential (Urban),,Taxable,,R-1SC
12586,0.2,6049,1,LOT 5 BK 3,530215000,517,LEXINGTON AVE,1.0 Residential (Urban),01,Taxable,,R-1SC
12587,0.2,6080,1,LOT 4 BK 3 LOCUST GROVE,530216000,513,LEXINGTON AVE,1.0 Residential (Urban),,Taxable,,R-1SC
12588,0.2,6125,1,LOT 3 BK 3,530217000,509,LEXINGTON AVE,1.0 Residential (Urban),01,Taxable,,R-1SC
12589,0.2,6164,1,LOT 2 BK 3,530218000,503,LEXINGTON AVE,1.0 Residential (Urban),,Taxable,,R-1SC
12590,0.2,6199,1,LOT 1 BK 3 LOCUST GROVE,530219000,501,LEXINGTON AVE,1.0 Residential (Urban),01,Taxable,,R-1SC
12591,0.1,6270,1,PT LOT 1 BK 4 LOCUST GROVE,530220000,500,LEXINGTON AVE,1.0 Residential (Urban),,Taxable,,R-1SC
12592,0.14,6246,1,PT LOT 2 BK 4 LOCUST GROVE,530221000,502,LEXINGTON AVE,1.0 Residential (Urban),,Taxable,,R-1SC
12593,0.14,6210,1,LOT 3A BK 4 LOCUST GROVE,530222000,508,LEXINGTON AVE,1.0 Residential (Urban),01,Taxable,,R-1SC
12594,0.14,6186,1,LOT 4A BK 4 LOCUST GROVE,530223000,512,LEXINGTON AVE,1.0 Residential (Urban),01,Taxable,,R-1SC
12595,0.16,6142,1,LOT 5A BK 4 LOCUST GROVE,530224000,516,LEXINGTON AVE,3.0 Multi-Family,,Taxable,,R-1SC
12596,0.16,6108,1,LOT 6A BK 4 LOCUST GROVE,530225000,520,LEXINGTON AVE,1.0 Residential (Urban),,Taxable,,R-1SC
12597,0.14,6064,1,LOT 7A BK 4 LOCUST GROVE,530226000,524,LEXINGTON AVE,1.0 Residential (Urban),,Taxable,,R-1SC
12598,0.33,6260,1,LOT Z BK 5 LOCUST GROVE,530228000,515,LOCUST AVE,4.0 Commercial & Industrial,,Taxable,,B-1C
12599,0.11,6313,1,LOT 4 BK 5 LOCUST GROVE,530230000,513,LOCUST AVE,3.0 Multi-Family,,Taxable,,B-1C
12600,0.11,6345,1,LOT 3 BK 5 LOCUST GROVE,530231000,509,LOCUST AVE,3.0 Multi-Family,,Taxable,,B-1C
12601,0.1,6374,1,LOT 2A BK 5 LOCUST GROVE,530232000,507,LOCUST AVE,4.0 Commercial & Industrial,,Taxable,,B-1C
12602,3.83,6360,1,LOTS & PARCEL X LOCUST GROVE,530234000,459,LOCUST AVE,4.0 Commercial & Industrial,,Taxable,,MLTPC
12603,4.5,17111,1,LOT 3,530247000,915,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,DNC
12604,0.09,6727,1,LOT,530257000,908,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,DN
12605,0.15,6735,1,LOT & PARCEL X,530258000,822,E HIGH ST,4.0 Commercial & Industrial,,Taxable,,DN
